trial_type	equation	solution	comparison	equation_representation	feedback_1	feedback_2	comparison_representation	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
subtraction	11-2	9.0	7	numeric	informative	informative	numeric	-2	1.4	4.9	2.2	4.3	0.5	5.3
addition	9+3	12.0	13	english_word	informative	informative	english_word	1	1.2	4.0	2.3	4.6	0.5	6.4
addition	4+3	7.0	4	numeric	informative	informative	numeric	-3	1.1	4.3	1.5	3.6	0.5	5.4
division	19/17	1.1	6	english_word	informative	noninformative	english_word	5	1.9	4.8	1.6	7.4	0.5	4.2
addition	26+17	43.0	37	numeric	noninformative	informative	numeric	-6	1.4	3.0	2.5	4.3	0.5	3.6
multiplication	26*1	26.0	34	numeric	informative	informative	numeric	8	2.1	7.4	2.0	3.2	0.5	3.5
multiplication	29*6	174.0	184	english_word	informative	informative	english_word	10	2.9	5.4	1.5	7.4	0.5	3.6
subtraction	25-20	5.0	3	english_word	informative	informative	english_word	-2	1.6	4.8	2.1	3.7	0.5	3.9
subtraction	13-6	7.0	5	numeric	informative	informative	numeric	-2	1.0	3.5	2.8	2.6	0.5	3.9
addition	27+25	52.0	50	english_word	noninformative	informative	english_word	-2	2.0	5.5	2.2	4.1	0.5	3.7
subtraction	13-27	-14.0	-13	numeric	informative	noninformative	numeric	1	2.8	2.9	2.0	5.3	0.5	4.7
division	8/8	1.0	-8	english_word	noninformative	informative	english_word	-9	2.6	3.2	2.3	5.2	0.5	4.7
multiplication	2*2	4.0	3	numeric	informative	informative	numeric	-1	2.5	3.5	1.8	4.3	0.5	4.6
multiplication	6*6	36.0	35	english_word	informative	informative	english_word	-1	1.1	3.6	2.9	4.6	0.5	5.6
multiplication	25*2	50.0	58	numeric	informative	noninformative	numeric	8	1.6	8.0	2.3	3.2	0.5	5.9
subtraction	25-12	13.0	11	english_word	informative	noninformative	english_word	-2	1.2	3.3	2.1	4.7	0.5	5.0
multiplication	27*9	243.0	244	numeric	informative	informative	numeric	1	1.0	5.1	2.5	5.3	0.5	5.6
addition	28+1	29.0	28	english_word	informative	informative	english_word	-1	1.9	4.2	2.7	5.4	0.5	2.9
division	28/10	2.8	-7	numeric	informative	informative	numeric	-10	1.3	6.3	2.6	2.9	0.5	4.1
addition	4+23	27.0	27	numeric	informative	noninformative	numeric	0	2.3	4.0	2.3	5.3	0.5	4.5
division	16/7	2.3	5	english_word	informative	noninformative	english_word	3	1.8	3.1	1.3	3.4	0.5	3.7
division	16/13	1.2	5	numeric	informative	informative	numeric	4	2.7	4.1	2.4	4.4	0.5	4.2
division	22/1	22.0	26	english_word	noninformative	informative	english_word	4	2.2	3.0	1.1	4.7	0.5	3.2
subtraction	11-9	2.0	4	english_word	informative	noninformative	english_word	2	2.9	5.4	2.3	3.5	0.5	4.7
