trial_type	equation	solution	comparison	equation_representation	feedback_1	feedback_2	comparison_representation	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
subtraction	26-17	9.0	14	english_word	informative	informative	english_word	5	1.1	3.5	2.8	3.8	0.5	5.0
division	25/12	2.1	9	numeric	informative	informative	numeric	7	1.6	4.3	2.5	4.6	0.5	5.8
multiplication	27*5	135.0	127	english_word	noninformative	informative	english_word	-8	2.4	3.9	2.0	7.5	0.5	4.1
subtraction	28-26	2.0	10	english_word	informative	informative	english_word	8	1.0	6.4	1.3	4.5	0.5	4.4
addition	2+27	29.0	28	numeric	noninformative	informative	numeric	-1	1.4	4.9	1.6	4.1	0.5	4.7
addition	15+2	17.0	17	english_word	informative	informative	english_word	0	1.1	4.2	1.6	5.9	0.5	4.6
addition	16+5	21.0	24	numeric	informative	informative	numeric	3	1.6	5.8	1.7	4.9	0.5	4.8
division	29/21	1.4	1	numeric	informative	informative	numeric	0	2.3	3.9	1.9	2.8	0.5	4.3
multiplication	29*4	116.0	109	numeric	informative	informative	numeric	-7	1.6	4.5	2.1	4.1	0.5	5.1
addition	5+27	32.0	31	numeric	informative	noninformative	numeric	-1	2.2	4.4	1.4	4.8	0.5	5.8
division	5/2	2.5	0	english_word	noninformative	noninformative	english_word	-2	1.1	4.1	2.6	5.4	0.5	4.5
subtraction	15-25	-10.0	-15	english_word	informative	informative	english_word	-5	2.7	3.7	2.5	6.0	0.5	4.2
addition	7+4	11.0	5	english_word	informative	informative	english_word	-6	1.3	4.2	2.7	3.3	0.5	4.1
division	28/18	1.6	10	numeric	informative	informative	numeric	8	1.4	3.2	1.5	4.2	0.5	6.0
division	25/5	5.0	5	numeric	informative	informative	numeric	0	2.0	3.0	2.2	3.4	0.5	3.9
subtraction	22-14	8.0	8	numeric	informative	noninformative	numeric	0	2.7	6.1	2.3	5.2	0.5	5.4
multiplication	2*6	12.0	19	english_word	informative	noninformative	english_word	7	2.5	4.7	1.8	3.1	0.5	2.9
multiplication	14*6	84.0	74	numeric	informative	informative	numeric	-10	2.9	5.5	1.8	4.2	0.5	4.4
subtraction	23-1	22.0	16	english_word	informative	informative	english_word	-6	2.5	4.3	2.6	5.5	0.5	4.3
subtraction	24-6	18.0	15	english_word	informative	noninformative	english_word	-3	1.8	4.0	2.2	3.7	0.5	4.1
multiplication	10*6	60.0	58	numeric	informative	noninformative	numeric	-2	1.8	2.8	2.8	4.4	0.5	5.8
addition	2+11	13.0	23	english_word	noninformative	informative	english_word	10	2.4	4.2	2.0	3.2	0.5	5.1
multiplication	4*8	32.0	34	english_word	informative	informative	english_word	2	1.5	5.1	2.7	3.7	0.5	2.7
division	11/1	11.0	2	numeric	informative	noninformative	numeric	-9	2.7	6.6	2.7	4.0	0.5	2.7
