trial_type	equation	solution	comparison	equation_representation	feedback_1	feedback_2	comparison_representation	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
multiplication	9*9	81.0	82	english_word	informative	informative	english_word	1	2.7	3.5	1.9	3.6	0.5	4.9
subtraction	2-28	-26.0	-33	english_word	informative	informative	english_word	-7	1.7	3.8	3.0	4.8	0.5	3.8
division	15/15	1.0	2	english_word	informative	noninformative	english_word	1	2.1	2.6	1.3	6.1	0.5	3.8
division	26/25	1.0	0	english_word	informative	informative	english_word	-1	2.9	4.6	2.4	4.5	0.5	5.6
subtraction	21-15	6.0	4	numeric	informative	informative	numeric	-2	2.5	6.0	1.3	5.1	0.5	5.1
subtraction	16-25	-9.0	-12	english_word	noninformative	informative	english_word	-3	2.6	4.9	2.6	3.5	0.5	5.5
multiplication	10*1	10.0	9	english_word	noninformative	informative	english_word	-1	1.2	4.5	1.1	2.8	0.5	4.6
division	13/2	6.5	6	english_word	informative	informative	english_word	-1	2.9	4.7	2.1	3.5	0.5	4.1
multiplication	16*8	128.0	124	english_word	informative	informative	english_word	-4	2.2	3.6	1.3	3.1	0.5	4.1
subtraction	2-7	-5.0	-9	numeric	informative	noninformative	numeric	-4	2.2	4.5	1.6	4.0	0.5	7.8
addition	17+16	33.0	34	numeric	informative	informative	numeric	1	1.2	4.9	1.1	4.6	0.5	6.3
addition	17+27	44.0	34	numeric	informative	noninformative	numeric	-10	1.7	4.2	1.5	5.6	0.5	5.1
division	26/5	5.2	5	english_word	informative	informative	english_word	0	2.3	4.6	2.3	4.0	0.5	3.5
subtraction	9-18	-9.0	-17	numeric	informative	noninformative	numeric	-8	1.9	3.9	2.6	3.7	0.5	3.5
multiplication	13*6	78.0	80	english_word	informative	informative	english_word	2	2.1	6.8	2.4	3.6	0.5	5.1
subtraction	28-13	15.0	12	numeric	informative	informative	numeric	-3	2.4	3.6	1.7	3.5	0.5	3.3
addition	16+7	23.0	23	numeric	noninformative	noninformative	numeric	0	2.2	4.9	2.0	2.8	0.5	4.0
addition	3+23	26.0	27	numeric	informative	informative	numeric	1	1.1	6.5	2.0	4.7	0.5	4.9
multiplication	4*2	8.0	7	numeric	noninformative	noninformative	numeric	-1	2.1	4.9	1.6	3.5	0.5	4.3
division	26/8	3.2	1	numeric	informative	informative	numeric	-2	2.5	5.6	1.9	4.7	0.5	8.0
addition	7+4	11.0	9	english_word	informative	informative	english_word	-2	2.8	4.6	3.0	3.1	0.5	3.2
division	30/8	3.8	7	numeric	informative	informative	numeric	3	1.2	4.7	2.0	4.9	0.5	4.7
addition	17+27	44.0	46	english_word	informative	noninformative	english_word	2	2.8	4.3	1.8	5.5	0.5	3.5
multiplication	26*7	182.0	180	numeric	informative	informative	numeric	-2	1.9	3.9	2.5	6.0	0.5	3.9
