trial_type	equation	solution	comparison	equation_representation	feedback_1	feedback_2	comparison_representation	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
addition	30+3	33.0	30	numeric	informative	informative	numeric	-3	2.4	6.0	1.3	4.6	0.5	4.1
multiplication	10*6	60.0	62	numeric	informative	noninformative	numeric	2	2.2	5.5	1.1	4.7	0.5	4.8
multiplication	28*8	224.0	227	numeric	informative	informative	numeric	3	1.1	3.3	2.6	3.6	0.5	3.4
subtraction	17-23	-6.0	-10	numeric	informative	informative	numeric	-4	1.4	7.8	1.4	3.1	0.5	4.8
subtraction	24-27	-3.0	6	english_word	informative	noninformative	english_word	9	2.0	5.6	1.7	5.1	0.5	6.9
subtraction	28-22	6.0	6	english_word	noninformative	informative	english_word	0	1.8	3.9	2.3	3.8	0.5	4.4
addition	23+20	43.0	34	numeric	informative	noninformative	numeric	-9	2.5	3.1	1.8	3.2	0.5	3.8
multiplication	20*3	60.0	57	english_word	informative	informative	english_word	-3	2.0	5.3	2.5	4.7	0.5	2.8
division	29/6	4.8	6	english_word	informative	informative	english_word	1	3.0	7.3	1.1	4.7	0.5	3.3
subtraction	13-10	3.0	1	numeric	informative	informative	numeric	-2	2.9	3.3	2.7	4.0	0.5	3.7
multiplication	15*8	120.0	112	numeric	informative	informative	numeric	-8	1.7	3.8	1.7	5.1	0.5	3.6
addition	17+22	39.0	40	numeric	noninformative	informative	numeric	1	1.2	4.1	2.9	6.7	0.5	3.9
addition	25+27	52.0	58	numeric	informative	informative	numeric	6	2.7	5.5	2.8	3.8	0.5	4.6
multiplication	9*5	45.0	45	english_word	informative	noninformative	english_word	0	2.2	4.2	1.7	5.7	0.5	4.6
subtraction	22-8	14.0	15	english_word	informative	noninformative	english_word	1	2.3	3.8	2.7	4.1	0.5	4.4
division	26/12	2.2	2	numeric	informative	informative	numeric	0	1.5	3.2	1.1	5.2	0.5	6.7
addition	14+12	26.0	25	english_word	informative	noninformative	english_word	-1	1.9	4.0	1.2	5.4	0.5	4.5
division	7/1	7.0	0	english_word	informative	informative	english_word	-7	2.2	3.4	1.6	4.4	0.5	3.5
multiplication	21*2	42.0	41	numeric	noninformative	informative	numeric	-1	1.9	3.6	1.5	4.1	0.5	6.4
addition	4+13	17.0	20	english_word	informative	informative	english_word	3	2.3	2.5	1.4	4.0	0.5	4.4
subtraction	8-12	-4.0	3	numeric	informative	informative	numeric	7	2.9	5.7	1.1	4.3	0.5	5.1
division	11/3	3.7	4	english_word	informative	informative	english_word	0	1.3	3.1	2.6	5.9	0.5	3.4
division	30/14	2.1	0	english_word	informative	noninformative	english_word	-2	1.4	6.2	2.6	3.0	0.5	3.6
division	29/26	1.1	-4	english_word	noninformative	informative	english_word	-5	2.0	5.8	3.0	4.4	0.5	4.2
