trial_type	equation	solution	comparison	equation_representation	feedback_1	feedback_2	comparison_representation	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
addition	16+22	38.0	40	english_word	informative	informative	english_word	2	1.2	5.4	2.3	5.4	0.5	3.8
addition	9+21	30.0	38	english_word	informative	noninformative	english_word	8	2.4	4.7	1.6	5.3	0.5	3.5
subtraction	25-20	5.0	4	english_word	informative	informative	english_word	-1	2.1	4.4	1.1	3.4	0.5	5.2
multiplication	18*3	54.0	51	numeric	informative	informative	numeric	-3	1.7	4.5	1.1	2.9	0.5	5.9
subtraction	3-27	-24.0	-22	english_word	noninformative	informative	english_word	2	1.8	4.1	1.9	6.1	0.5	5.9
addition	8+1	9.0	14	numeric	noninformative	informative	numeric	5	2.2	3.3	2.4	4.2	0.5	3.7
subtraction	18-3	15.0	15	numeric	informative	noninformative	numeric	0	2.4	4.5	2.6	5.7	0.5	2.9
multiplication	17*1	17.0	17	english_word	informative	informative	english_word	0	1.3	6.6	1.5	5.5	0.5	4.2
multiplication	29*1	29.0	32	numeric	informative	informative	numeric	3	1.1	5.0	2.3	4.2	0.5	5.4
addition	11+8	19.0	18	english_word	informative	informative	english_word	-1	2.0	3.0	2.7	5.5	0.5	3.2
subtraction	30-30	0.0	1	english_word	informative	noninformative	english_word	1	1.9	3.2	1.4	5.6	0.5	4.1
addition	6+22	28.0	28	numeric	informative	informative	numeric	0	2.9	3.8	1.3	4.2	0.5	4.3
subtraction	1-24	-23.0	-22	numeric	informative	noninformative	numeric	1	1.8	5.2	2.6	3.7	0.5	4.7
division	27/20	1.4	-4	numeric	noninformative	noninformative	numeric	-5	1.5	3.2	1.1	3.3	0.5	7.7
multiplication	2*1	2.0	6	numeric	informative	informative	numeric	4	1.8	5.4	1.7	3.7	0.5	3.3
addition	16+15	31.0	29	numeric	informative	informative	numeric	-2	2.3	6.0	2.4	3.6	0.5	6.4
multiplication	8*2	16.0	12	english_word	informative	informative	english_word	-4	2.2	5.1	2.7	5.2	0.5	4.5
division	29/3	9.7	7	english_word	informative	informative	english_word	-3	2.6	3.3	1.9	3.2	0.5	4.2
division	28/19	1.5	2	numeric	informative	informative	numeric	1	2.2	4.8	1.2	4.0	0.5	4.4
division	28/25	1.1	9	numeric	informative	informative	numeric	8	2.3	3.5	1.2	7.2	0.5	6.8
subtraction	24-10	14.0	12	english_word	informative	noninformative	english_word	-2	1.7	4.0	2.4	6.0	0.5	7.1
multiplication	6*4	24.0	24	english_word	informative	noninformative	english_word	0	1.3	5.7	2.6	4.0	0.5	5.4
division	13/3	4.3	4	numeric	informative	informative	numeric	0	2.5	3.9	1.6	3.0	0.5	3.6
division	23/13	1.8	6	english_word	noninformative	informative	english_word	4	1.8	3.4	1.8	3.9	0.5	4.1
