trial_type	equation	solution	comparison	equation_representation	feedback_1	feedback_2	comparison_representation	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
division	19/1	19.0	21	english_word	informative	noninformative	english_word	2	2.9	4.1	2.8	3.7	0.5	4.9
subtraction	26-11	15.0	8	english_word	informative	noninformative	english_word	-7	2.3	4.6	1.8	4.7	0.5	4.8
subtraction	20-13	7.0	6	numeric	informative	informative	numeric	-1	1.8	4.9	2.5	4.2	0.5	4.1
subtraction	21-13	8.0	6	english_word	informative	informative	english_word	-2	2.6	4.4	2.3	5.0	0.5	5.1
division	20/17	1.2	2	english_word	informative	informative	english_word	1	2.2	6.1	1.9	3.7	0.5	2.6
subtraction	11-9	2.0	1	english_word	informative	informative	english_word	-1	1.3	4.0	1.2	2.0	0.5	3.9
multiplication	12*1	12.0	8	numeric	noninformative	noninformative	numeric	-4	1.1	4.4	2.1	7.5	0.5	2.8
subtraction	21-1	20.0	20	english_word	informative	informative	english_word	0	2.5	3.4	2.7	3.2	0.5	6.5
addition	27+10	37.0	33	numeric	informative	noninformative	numeric	-4	2.3	2.9	2.8	5.2	0.5	3.0
multiplication	20*6	120.0	121	english_word	informative	informative	english_word	1	2.5	3.8	1.2	4.1	0.5	4.3
multiplication	17*5	85.0	91	numeric	informative	informative	numeric	6	1.3	5.2	2.3	4.3	0.5	4.6
multiplication	17*6	102.0	102	english_word	informative	informative	english_word	0	2.0	3.1	2.9	4.0	0.5	4.0
addition	21+17	38.0	47	english_word	informative	informative	english_word	9	1.1	4.0	1.2	3.4	0.5	4.3
addition	21+22	43.0	42	numeric	informative	informative	numeric	-1	2.4	6.4	1.3	3.5	0.5	5.5
division	25/5	5.0	1	english_word	noninformative	informative	english_word	-4	3.0	4.1	1.9	6.4	0.5	4.7
multiplication	23*6	138.0	143	numeric	informative	informative	numeric	5	2.4	4.3	1.6	4.4	0.5	3.4
addition	29+10	39.0	37	numeric	informative	noninformative	numeric	-2	2.0	6.4	2.9	6.1	0.5	3.7
addition	23+23	46.0	38	numeric	informative	noninformative	numeric	-8	1.6	6.0	2.1	5.9	0.5	4.2
division	28/25	1.1	3	numeric	informative	informative	numeric	2	1.8	4.3	1.3	5.0	0.5	4.6
multiplication	19*1	19.0	13	english_word	informative	informative	english_word	-6	1.8	5.6	1.7	4.1	0.5	4.9
division	21/5	4.2	4	numeric	informative	noninformative	numeric	0	2.0	7.4	1.2	3.3	0.5	4.6
addition	2+26	28.0	28	numeric	noninformative	informative	numeric	0	2.5	6.0	2.9	2.9	0.5	4.2
subtraction	24-6	18.0	16	numeric	noninformative	informative	numeric	-2	2.8	3.4	2.2	3.1	0.5	7.4
division	24/2	12.0	10	english_word	informative	informative	english_word	-2	2.3	3.5	1.8	5.6	0.5	2.6
