trial_type	equation	solution	comparison	equation_representation	feedback_1	feedback_2	comparison_representation	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
addition	1+4	5.0	5	spanish_word	informative	informative	spanish_word	0	1.2	3.5	1.1	3.8	0.5	3.6
subtraction	25-11	14.0	11	spanish_word	noninformative	informative	spanish_word	-3	2.1	7.4	2.7	2.9	0.5	3.4
addition	1+9	10.0	8	numeric	noninformative	informative	numeric	-2	2.0	4.7	1.2	2.6	0.5	6.0
division	27/2	13.5	18	english_word	informative	informative	english_word	4	1.9	5.3	1.5	3.1	0.5	3.4
addition	16+12	28.0	35	english_word	informative	informative	english_word	7	2.4	3.4	2.0	5.7	0.5	5.0
subtraction	27-5	22.0	13	numeric	informative	informative	numeric	-9	1.3	4.6	1.2	5.3	0.5	4.5
subtraction	25-17	8.0	10	english_word	informative	noninformative	english_word	2	1.2	5.2	1.6	3.0	0.5	4.8
division	24/13	1.8	1	english_word	informative	noninformative	english_word	-1	2.0	5.6	2.4	4.8	0.5	5.8
subtraction	6-28	-22.0	-22	spanish_word	informative	informative	spanish_word	0	2.9	4.0	2.4	6.4	0.5	2.6
addition	18+3	21.0	29	numeric	noninformative	informative	numeric	8	2.0	5.3	1.8	2.4	0.5	6.0
multiplication	15*5	75.0	76	numeric	informative	noninformative	numeric	1	1.8	4.7	2.5	3.3	0.5	3.0
division	26/19	1.4	2	english_word	noninformative	noninformative	english_word	1	2.3	3.8	2.8	5.1	0.5	4.9
multiplication	4*2	8.0	7	spanish_word	informative	noninformative	spanish_word	-1	2.4	4.8	1.7	5.9	0.5	4.3
subtraction	26-21	5.0	3	spanish_word	informative	informative	spanish_word	-2	1.4	3.4	1.3	4.9	0.5	4.4
multiplication	17*2	34.0	34	spanish_word	informative	informative	spanish_word	0	2.4	4.2	3.0	3.1	0.5	4.1
multiplication	28*1	28.0	22	english_word	informative	informative	english_word	-6	2.0	4.2	1.8	4.2	0.5	3.2
division	15/14	1.1	-1	numeric	informative	informative	numeric	-2	1.6	4.8	1.6	5.0	0.5	6.3
multiplication	6*9	54.0	57	numeric	informative	informative	numeric	3	1.6	4.4	2.3	2.7	0.5	5.9
addition	13+14	27.0	25	spanish_word	informative	noninformative	spanish_word	-2	3.0	6.2	2.3	6.7	0.5	4.7
multiplication	22*1	22.0	28	spanish_word	informative	informative	spanish_word	6	2.0	6.0	1.7	4.9	0.5	4.6
division	16/3	5.3	6	english_word	informative	informative	english_word	1	1.1	2.6	2.6	3.3	0.5	5.8
addition	3+29	32.0	29	numeric	informative	noninformative	numeric	-3	2.7	5.7	2.0	3.1	0.5	4.0
division	24/14	1.7	2	english_word	informative	informative	english_word	0	1.2	4.1	2.6	3.2	0.5	3.1
subtraction	6-5	1.0	3	numeric	informative	informative	numeric	2	1.7	4.1	2.6	4.6	0.5	5.7
