trial_type	equation	solution	comparison	equation_representation	feedback_1	feedback_2	comparison_representation	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
multiplication	18*2	36.0	39	spanish_word	informative	informative	spanish_word	3	1.0	4.1	1.1	2.9	0.5	6.8
multiplication	19*6	114.0	115	numeric	informative	noninformative	numeric	1	2.0	5.3	2.9	6.5	0.5	4.0
multiplication	13*8	104.0	111	numeric	informative	informative	numeric	7	2.5	3.5	1.1	3.5	0.5	5.7
division	20/6	3.3	2	spanish_word	informative	informative	spanish_word	-1	1.2	4.5	2.7	5.2	0.5	4.5
division	27/8	3.4	3	spanish_word	informative	informative	spanish_word	0	1.2	4.9	1.6	5.0	0.5	4.2
subtraction	28-26	2.0	-6	english_word	noninformative	informative	english_word	-8	1.4	3.3	2.4	4.9	0.5	2.8
addition	7+28	35.0	36	english_word	informative	informative	english_word	1	2.9	6.1	2.5	4.9	0.5	3.8
multiplication	12*2	24.0	24	english_word	noninformative	informative	english_word	0	1.4	5.4	2.5	3.6	0.5	3.0
division	12/10	1.2	3	numeric	informative	informative	numeric	2	1.2	4.7	1.4	4.1	0.5	3.8
addition	7+23	30.0	28	numeric	informative	informative	numeric	-2	2.5	6.7	2.8	3.9	0.5	4.4
subtraction	21-7	14.0	12	spanish_word	informative	informative	spanish_word	-2	2.1	4.1	2.5	4.3	0.5	5.2
division	21/20	1.1	7	numeric	informative	informative	numeric	6	2.7	4.9	2.3	4.5	0.5	4.5
subtraction	30-6	24.0	23	numeric	informative	informative	numeric	-1	2.0	3.5	1.1	4.0	0.5	4.9
division	30/9	3.3	8	spanish_word	informative	informative	spanish_word	5	1.7	3.7	1.3	3.4	0.5	6.5
addition	4+29	33.0	41	numeric	informative	noninformative	numeric	8	1.1	3.7	2.3	3.9	0.5	5.7
multiplication	12*1	12.0	22	numeric	informative	informative	numeric	10	1.2	5.1	1.9	6.5	0.5	4.3
subtraction	26-9	17.0	25	english_word	informative	noninformative	english_word	8	2.0	5.1	2.8	5.4	0.5	6.3
subtraction	16-7	9.0	0	spanish_word	informative	noninformative	spanish_word	-9	1.1	6.1	1.4	4.1	0.5	5.4
addition	14+22	36.0	35	spanish_word	informative	informative	spanish_word	-1	2.7	3.8	1.1	5.0	0.5	3.6
division	13/3	4.3	0	english_word	informative	noninformative	english_word	-4	2.1	2.7	1.0	5.0	0.5	5.6
addition	2+14	16.0	20	english_word	noninformative	informative	english_word	4	2.9	3.6	2.9	5.4	0.5	3.2
subtraction	20-7	13.0	19	english_word	informative	noninformative	english_word	6	1.5	4.0	2.3	4.9	0.5	5.6
multiplication	13*3	39.0	42	english_word	noninformative	informative	english_word	3	2.7	3.8	2.0	3.0	0.5	5.8
addition	28+3	31.0	34	spanish_word	informative	noninformative	spanish_word	3	1.6	2.9	1.1	3.7	0.5	4.1
