trial_type	equation	solution	comparison	equation_representation	feedback_1	feedback_2	comparison_representation	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
addition	29+6	35.0	35	english_word	informative	informative	english_word	0	2.6	5.6	1.7	6.5	0.5	3.4
addition	10+19	29.0	37	english_word	informative	informative	english_word	8	1.9	4.9	2.4	6.8	0.5	4.7
multiplication	15*1	15.0	20	spanish_word	informative	informative	spanish_word	5	1.7	2.3	2.1	4.9	0.5	4.3
multiplication	22*3	66.0	59	english_word	noninformative	noninformative	english_word	-7	2.5	4.1	1.4	3.5	0.5	2.7
subtraction	19-8	11.0	3	numeric	informative	noninformative	numeric	-8	2.1	4.8	1.9	4.8	0.5	5.4
division	27/4	6.8	13	english_word	informative	noninformative	english_word	6	2.0	4.7	1.3	7.7	0.5	3.9
division	30/12	2.5	12	spanish_word	informative	informative	spanish_word	10	2.8	5.6	1.3	3.6	0.5	3.5
division	21/18	1.2	7	english_word	informative	informative	english_word	6	2.5	4.3	1.6	2.7	0.5	2.6
addition	13+16	29.0	24	spanish_word	informative	noninformative	spanish_word	-5	1.7	3.7	2.3	4.0	0.5	5.4
subtraction	15-21	-6.0	0	spanish_word	informative	informative	spanish_word	6	2.9	3.8	2.0	4.3	0.5	5.7
multiplication	25*8	200.0	208	spanish_word	noninformative	informative	spanish_word	8	1.3	4.6	2.2	4.2	0.5	3.1
addition	22+13	35.0	44	numeric	informative	informative	numeric	9	2.7	4.8	2.7	4.7	0.5	4.1
multiplication	22*2	44.0	42	spanish_word	noninformative	noninformative	spanish_word	-2	1.9	4.0	2.3	2.9	0.5	4.0
subtraction	28-6	22.0	22	numeric	informative	informative	numeric	0	2.1	3.3	1.9	4.0	0.5	3.3
division	8/4	2.0	7	spanish_word	informative	informative	spanish_word	5	1.4	4.3	2.0	3.1	0.5	4.2
division	21/17	1.2	7	english_word	informative	noninformative	english_word	6	2.4	3.5	2.1	4.2	0.5	5.6
division	24/19	1.3	-3	numeric	informative	informative	numeric	-4	2.8	5.5	2.6	4.8	0.5	5.2
subtraction	24-1	23.0	18	english_word	noninformative	informative	english_word	-5	1.5	4.3	2.9	3.3	0.5	4.1
subtraction	14-2	12.0	11	spanish_word	informative	noninformative	spanish_word	-1	1.3	4.1	3.0	4.7	0.5	4.2
subtraction	3-12	-9.0	-19	numeric	informative	informative	numeric	-10	2.6	4.3	2.6	4.5	0.5	3.1
multiplication	24*5	120.0	128	numeric	informative	informative	numeric	8	2.9	5.8	1.9	4.2	0.5	3.5
addition	3+23	26.0	26	english_word	informative	informative	english_word	0	2.6	6.0	2.1	5.4	0.5	4.3
addition	23+16	39.0	32	numeric	informative	informative	numeric	-7	2.9	3.4	1.4	3.9	0.5	6.7
multiplication	2*5	10.0	1	numeric	informative	informative	numeric	-9	2.9	4.3	2.7	4.3	0.5	3.8
