trial_type	equation	solution	comparison	equation_representation	feedback_1	feedback_2	comparison_representation	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
division	27/1	27.0	26	english_word	informative	noninformative	english_word	-1	1.6	4.5	1.1	4.6	0.5	7.7
addition	15+25	40.0	39	english_word	informative	informative	english_word	-1	2.1	4.6	1.3	5.8	0.5	7.2
division	23/22	1.0	-7	numeric	informative	noninformative	numeric	-8	1.5	3.8	1.6	4.7	0.5	5.5
subtraction	12-27	-15.0	-12	spanish_word	informative	informative	spanish_word	3	1.4	3.6	1.9	3.7	0.5	4.6
multiplication	1*7	7.0	-1	english_word	informative	noninformative	english_word	-8	2.0	3.2	2.5	5.4	0.5	4.0
subtraction	13-15	-2.0	-5	spanish_word	informative	informative	spanish_word	-3	2.6	4.4	2.0	3.7	0.5	5.3
multiplication	14*4	56.0	60	numeric	informative	informative	numeric	4	2.6	3.1	2.5	5.4	0.5	6.6
multiplication	6*6	36.0	37	numeric	noninformative	noninformative	numeric	1	2.6	4.0	1.1	2.9	0.5	4.2
division	21/11	1.9	6	spanish_word	informative	informative	spanish_word	4	1.6	3.9	2.9	3.1	0.5	3.5
addition	26+12	38.0	44	english_word	informative	informative	english_word	6	1.7	2.8	1.7	2.9	0.5	3.4
multiplication	4*8	32.0	25	spanish_word	informative	informative	spanish_word	-7	1.3	3.6	2.0	3.1	0.5	5.5
subtraction	7-16	-9.0	-8	english_word	noninformative	informative	english_word	1	1.7	3.1	2.2	5.3	0.5	4.4
division	30/21	1.4	2	spanish_word	informative	informative	spanish_word	1	2.0	3.8	1.5	3.9	0.5	4.4
subtraction	3-17	-14.0	-7	numeric	informative	informative	numeric	7	1.8	4.8	2.8	3.6	0.5	6.4
addition	8+4	12.0	7	numeric	informative	informative	numeric	-5	1.0	3.9	1.5	6.8	0.5	4.4
addition	18+27	45.0	46	spanish_word	informative	informative	spanish_word	1	2.3	5.6	2.9	6.0	0.5	5.4
division	21/13	1.6	7	numeric	informative	informative	numeric	5	1.1	5.4	1.2	6.1	0.5	4.9
multiplication	26*3	78.0	80	english_word	informative	noninformative	english_word	2	1.7	4.4	3.0	3.5	0.5	4.8
addition	28+14	42.0	41	english_word	informative	informative	english_word	-1	2.2	3.8	1.7	7.0	0.5	6.1
subtraction	19-1	18.0	26	numeric	noninformative	noninformative	numeric	8	1.3	2.3	2.1	4.6	0.5	2.9
multiplication	21*3	63.0	65	numeric	noninformative	informative	numeric	2	2.4	6.0	2.3	4.1	0.5	4.4
addition	30+19	49.0	46	english_word	informative	informative	english_word	-3	1.6	4.3	1.0	4.2	0.5	5.8
division	14/5	2.8	9	spanish_word	informative	noninformative	spanish_word	6	1.5	6.3	1.1	4.8	0.5	3.8
subtraction	24-11	13.0	15	spanish_word	informative	informative	spanish_word	2	1.6	6.4	3.0	6.7	0.5	3.4
