trial_type	equation	solution	comparison	equation_representation	feedback_1	feedback_2	comparison_representation	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
addition	20+1	21.0	25	english_word	noninformative	informative	english_word	4	1.2	3.3	2.6	3.4	0.5	3.3
addition	24+22	46.0	47	spanish_word	noninformative	noninformative	spanish_word	1	2.4	7.3	1.8	4.0	0.5	3.4
subtraction	18-24	-6.0	-9	english_word	informative	noninformative	english_word	-3	2.8	3.1	2.7	6.2	0.5	6.2
multiplication	30*7	210.0	219	english_word	informative	informative	english_word	9	1.8	3.7	1.9	5.2	0.5	5.8
division	22/7	3.1	2	spanish_word	informative	informative	spanish_word	-1	2.2	3.8	1.0	6.8	0.5	4.8
multiplication	14*6	84.0	81	english_word	informative	noninformative	english_word	-3	2.2	5.3	2.2	4.3	0.5	5.7
subtraction	24-30	-6.0	-7	spanish_word	informative	noninformative	spanish_word	-1	1.8	3.2	1.3	4.7	0.5	6.9
addition	18+13	31.0	30	spanish_word	informative	informative	spanish_word	-1	2.0	4.1	1.9	3.9	0.5	5.4
division	25/22	1.1	3	numeric	informative	informative	numeric	2	2.5	4.4	1.8	3.7	0.5	4.4
addition	29+24	53.0	56	numeric	noninformative	informative	numeric	3	1.5	6.1	1.8	4.6	0.5	4.1
division	18/17	1.1	-3	english_word	informative	informative	english_word	-4	2.7	3.9	1.4	5.4	0.5	4.1
division	30/9	3.3	-7	english_word	informative	informative	english_word	-10	2.2	6.3	1.2	7.7	0.5	3.3
division	16/3	5.3	5	spanish_word	informative	noninformative	spanish_word	0	3.0	4.9	2.2	5.9	0.5	3.8
subtraction	1-29	-28.0	-25	english_word	informative	informative	english_word	3	1.3	3.4	1.8	3.9	0.5	3.4
addition	13+20	33.0	23	numeric	informative	informative	numeric	-10	1.5	3.3	1.5	3.5	0.5	6.9
multiplication	24*1	24.0	25	spanish_word	informative	informative	spanish_word	1	2.9	6.2	1.1	4.5	0.5	4.6
subtraction	2-19	-17.0	-17	spanish_word	noninformative	informative	spanish_word	0	2.9	3.2	1.9	2.8	0.5	5.6
multiplication	26*9	234.0	230	numeric	informative	noninformative	numeric	-4	2.2	6.8	2.5	3.1	0.5	3.6
addition	8+6	14.0	11	numeric	informative	informative	numeric	-3	1.7	3.9	1.1	4.2	0.5	2.9
division	11/4	2.8	7	spanish_word	informative	noninformative	spanish_word	4	1.5	4.4	1.3	4.0	0.5	5.2
subtraction	18-17	1.0	0	english_word	informative	informative	english_word	-1	2.9	5.0	1.7	3.7	0.5	3.4
multiplication	12*4	48.0	44	numeric	informative	informative	numeric	-4	2.3	4.7	1.8	5.5	0.5	4.7
subtraction	13-8	5.0	1	numeric	informative	informative	numeric	-4	1.8	7.6	1.3	3.9	0.5	3.5
multiplication	19*6	114.0	122	numeric	informative	informative	numeric	8	2.3	4.4	1.0	5.1	0.5	4.3
