trial_type	equation	solution	comparison	equation_representation	feedback_1	feedback_2	comparison_representation	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
division	15/7	2.1	-5	numeric	informative	informative	numeric	-7	1.8	3.5	1.4	3.4	0.5	5.1
division	16/13	1.2	0	english_word	noninformative	informative	english_word	-1	1.0	3.7	2.0	3.8	0.5	4.0
addition	3+20	23.0	25	english_word	noninformative	informative	english_word	2	2.0	3.6	2.2	2.9	0.5	6.0
multiplication	4*4	16.0	15	spanish_word	informative	informative	spanish_word	-1	1.5	4.3	2.5	3.4	0.5	3.4
multiplication	1*1	1.0	-3	spanish_word	informative	informative	spanish_word	-4	1.8	4.7	2.0	4.2	0.5	3.6
multiplication	23*5	115.0	113	numeric	informative	informative	numeric	-2	1.6	5.0	1.1	4.1	0.5	4.8
subtraction	23-1	22.0	23	numeric	informative	informative	numeric	1	1.6	3.5	2.1	3.4	0.5	4.3
multiplication	25*5	125.0	133	english_word	informative	noninformative	english_word	8	1.8	5.1	1.5	7.6	0.5	5.1
subtraction	15-25	-10.0	-8	spanish_word	informative	informative	spanish_word	2	1.0	3.0	1.9	5.2	0.5	4.4
addition	27+26	53.0	49	spanish_word	informative	informative	spanish_word	-4	1.7	4.9	1.0	3.2	0.5	4.9
division	12/11	1.1	8	numeric	informative	noninformative	numeric	7	2.6	4.7	2.8	5.6	0.5	5.5
division	15/3	5.0	9	numeric	informative	informative	numeric	4	2.9	3.8	2.6	7.8	0.5	4.3
division	25/4	6.2	4	spanish_word	informative	informative	spanish_word	-2	2.8	4.4	2.9	2.7	0.5	4.4
subtraction	23-24	-1.0	-4	english_word	noninformative	noninformative	english_word	-3	1.5	4.5	2.1	5.9	0.5	5.2
division	24/21	1.1	2	spanish_word	informative	informative	spanish_word	1	1.2	5.2	1.2	4.1	0.5	4.2
subtraction	11-3	8.0	17	english_word	informative	noninformative	english_word	9	1.9	5.5	2.9	5.6	0.5	4.2
multiplication	18*1	18.0	20	spanish_word	informative	noninformative	spanish_word	2	2.7	4.5	2.1	5.7	0.5	4.5
subtraction	21-15	6.0	8	english_word	noninformative	informative	english_word	2	2.0	5.1	2.7	4.4	0.5	3.3
multiplication	3*8	24.0	26	numeric	informative	informative	numeric	2	2.0	3.3	1.4	3.2	0.5	3.4
addition	14+24	38.0	42	english_word	informative	noninformative	english_word	4	2.1	5.3	1.7	6.0	0.5	3.8
addition	16+27	43.0	40	english_word	informative	informative	english_word	-3	2.8	4.4	1.6	3.4	0.5	4.4
addition	26+2	28.0	28	spanish_word	informative	informative	spanish_word	0	2.1	4.6	2.5	6.5	0.5	3.9
addition	3+14	17.0	21	numeric	informative	noninformative	numeric	4	1.8	4.8	3.0	4.7	0.5	6.5
subtraction	23-24	-1.0	2	numeric	informative	informative	numeric	3	1.4	4.2	2.6	3.9	0.5	4.3
