trial_type	equation	solution	comparison	equation_representation	feedback_1	feedback_2	comparison_representation	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
division	18/2	9.0	13	spanish_word	informative	informative	spanish_word	4	1.5	4.8	2.5	4.1	0.5	4.6
addition	21+9	30.0	38	numeric	informative	informative	numeric	8	1.5	4.4	1.4	4.9	0.5	5.2
division	13/1	13.0	13	numeric	noninformative	noninformative	numeric	0	2.5	3.4	2.6	4.0	0.5	7.7
multiplication	26*6	156.0	155	spanish_word	noninformative	informative	spanish_word	-1	1.1	6.7	1.5	3.7	0.5	4.4
subtraction	4-7	-3.0	2	english_word	informative	informative	english_word	5	1.7	2.9	1.6	3.7	0.5	4.6
division	15/2	7.5	10	numeric	informative	informative	numeric	2	1.2	3.4	1.5	3.3	0.5	4.3
addition	21+30	51.0	55	english_word	informative	noninformative	english_word	4	2.9	5.3	2.1	5.0	0.5	5.1
multiplication	19*5	95.0	86	spanish_word	informative	noninformative	spanish_word	-9	2.2	5.5	2.1	5.4	0.5	3.1
division	30/15	2.0	5	english_word	informative	noninformative	english_word	3	1.0	3.8	1.4	5.4	0.5	3.3
addition	26+17	43.0	44	numeric	informative	informative	numeric	1	2.5	4.8	1.2	3.6	0.5	3.9
multiplication	4*1	4.0	5	english_word	informative	informative	english_word	1	1.2	6.2	1.6	4.2	0.5	6.0
addition	21+26	47.0	48	english_word	informative	informative	english_word	1	1.9	3.9	1.4	4.9	0.5	5.1
subtraction	10-10	0.0	9	numeric	informative	noninformative	numeric	9	2.1	5.1	1.7	5.7	0.5	3.8
subtraction	23-24	-1.0	-8	english_word	informative	informative	english_word	-7	2.1	5.3	1.2	4.4	0.5	4.5
multiplication	23*2	46.0	43	spanish_word	informative	informative	spanish_word	-3	1.9	4.0	2.8	3.8	0.5	2.9
subtraction	11-23	-12.0	-3	numeric	noninformative	noninformative	numeric	9	3.0	4.5	1.5	3.3	0.5	3.9
division	20/6	3.3	6	spanish_word	informative	informative	spanish_word	3	1.4	3.9	2.7	3.6	0.5	5.6
addition	24+4	28.0	26	numeric	informative	informative	numeric	-2	1.4	3.9	2.1	4.4	0.5	5.5
subtraction	16-9	7.0	8	spanish_word	informative	informative	spanish_word	1	2.5	3.4	1.7	5.6	0.5	5.4
division	15/7	2.1	0	spanish_word	noninformative	noninformative	spanish_word	-2	1.6	3.3	2.3	4.3	0.5	2.9
subtraction	15-2	13.0	21	spanish_word	informative	informative	spanish_word	8	2.6	3.6	1.3	7.3	0.5	3.4
multiplication	17*6	102.0	94	english_word	informative	informative	english_word	-8	2.8	4.7	2.3	4.3	0.5	5.4
multiplication	29*7	203.0	213	numeric	informative	informative	numeric	10	2.8	5.4	2.0	5.2	0.5	4.2
addition	27+21	48.0	48	english_word	informative	informative	english_word	0	2.5	6.0	1.6	5.8	0.5	3.8
