trial_type	equation	solution	comparison	equation_representation	feedback_1	feedback_2	comparison_representation	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
addition	11+14	25.0	24	numeric	informative	informative	numeric	-1	1.6	4.3	1.4	5.3	0.5	5.0
multiplication	27*2	54.0	54	numeric	informative	noninformative	numeric	0	1.9	3.5	2.2	3.8	0.5	4.1
subtraction	16-6	10.0	6	english_word	informative	noninformative	english_word	-4	1.5	6.3	1.3	3.7	0.5	3.6
multiplication	1*1	1.0	1	english_word	noninformative	informative	english_word	0	1.2	6.9	1.2	4.8	0.5	4.8
multiplication	27*8	216.0	225	numeric	informative	informative	numeric	9	2.7	4.9	1.9	3.4	0.5	4.8
addition	15+18	33.0	30	english_word	informative	informative	english_word	-3	2.3	6.0	1.6	4.2	0.5	4.1
multiplication	8*8	64.0	68	english_word	informative	noninformative	english_word	4	1.7	6.0	1.5	4.0	0.5	4.2
multiplication	2*2	4.0	2	numeric	informative	informative	numeric	-2	1.1	4.1	2.1	3.8	0.5	3.6
subtraction	8-21	-13.0	-13	english_word	informative	informative	english_word	0	2.3	2.6	2.9	3.4	0.5	3.6
addition	10+30	40.0	40	english_word	informative	informative	english_word	0	2.2	6.7	2.4	5.4	0.5	3.2
subtraction	10-26	-16.0	-12	english_word	noninformative	informative	english_word	4	1.2	3.5	2.3	3.6	0.5	5.2
division	23/20	1.1	2	english_word	informative	noninformative	english_word	1	1.1	4.0	2.5	4.9	0.5	3.8
addition	6+6	12.0	2	english_word	informative	informative	english_word	-10	1.5	5.2	2.9	3.2	0.5	3.9
addition	13+7	20.0	20	numeric	informative	informative	numeric	0	1.5	5.2	1.1	4.0	0.5	6.1
division	11/8	1.4	-1	numeric	informative	informative	numeric	-2	2.5	3.5	1.0	6.4	0.5	4.0
subtraction	20-11	9.0	6	numeric	informative	informative	numeric	-3	1.1	4.3	1.7	4.6	0.5	5.1
subtraction	10-6	4.0	-4	numeric	informative	informative	numeric	-8	1.7	4.5	2.4	5.3	0.5	4.0
division	27/18	1.5	6	english_word	informative	informative	english_word	5	1.9	4.6	1.6	3.7	0.5	3.8
subtraction	18-23	-5.0	-8	numeric	informative	informative	numeric	-3	2.5	5.0	2.6	4.4	0.5	3.9
multiplication	30*8	240.0	235	numeric	informative	noninformative	numeric	-5	2.7	3.9	2.2	4.2	0.5	4.4
division	30/12	2.5	10	numeric	noninformative	noninformative	numeric	7	2.6	4.9	1.2	4.0	0.5	7.1
addition	26+19	45.0	41	english_word	noninformative	informative	english_word	-4	1.5	5.9	2.8	5.1	0.5	6.6
division	10/4	2.5	8	numeric	informative	noninformative	numeric	6	2.5	5.7	1.7	3.5	0.5	4.7
division	14/11	1.3	0	english_word	informative	informative	english_word	-1	1.9	5.1	2.1	3.1	0.5	3.7
