trial_type	equation	solution	comparison	equation_representation	feedback_1	feedback_2	comparison_representation	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
multiplication	8*9	72.0	63	numeric	informative	informative	numeric	-9	2.9	4.8	2.3	2.8	0.5	4.1
addition	24+2	26.0	30	numeric	noninformative	informative	numeric	4	1.8	5.2	2.9	4.3	0.5	2.8
addition	1+17	18.0	10	numeric	informative	noninformative	numeric	-8	2.3	5.9	1.0	3.9	0.5	6.5
division	5/2	2.5	-2	english_word	informative	noninformative	english_word	-5	3.0	4.7	2.8	4.5	0.5	5.2
division	29/19	1.5	-6	english_word	informative	noninformative	english_word	-8	2.8	5.0	1.1	4.1	0.5	5.6
division	20/19	1.1	1	english_word	informative	noninformative	english_word	0	2.5	8.0	2.3	3.0	0.5	6.4
subtraction	22-19	3.0	3	english_word	informative	noninformative	english_word	0	1.8	3.8	2.1	3.6	0.5	4.7
subtraction	15-7	8.0	8	numeric	informative	informative	numeric	0	2.2	2.1	2.1	7.0	0.5	3.8
multiplication	21*6	126.0	130	numeric	informative	informative	numeric	4	1.5	5.0	2.3	5.9	0.5	5.1
multiplication	7*1	7.0	8	english_word	noninformative	informative	english_word	1	2.0	4.0	1.2	3.0	0.5	4.4
addition	18+24	42.0	48	english_word	informative	informative	english_word	6	1.5	6.3	2.8	3.4	0.5	4.2
subtraction	28-18	10.0	19	numeric	informative	noninformative	numeric	9	1.5	4.7	2.6	4.0	0.5	4.3
multiplication	11*2	22.0	19	english_word	informative	informative	english_word	-3	2.8	6.4	2.3	4.8	0.5	4.1
addition	28+6	34.0	40	numeric	informative	informative	numeric	6	2.3	2.7	2.1	4.2	0.5	5.7
division	7/3	2.3	6	english_word	informative	informative	english_word	4	1.3	4.0	1.1	5.1	0.5	3.3
multiplication	9*9	81.0	82	numeric	informative	informative	numeric	1	1.3	5.9	3.0	2.3	0.5	3.7
subtraction	8-22	-14.0	-15	numeric	informative	informative	numeric	-1	2.3	3.8	1.9	2.9	0.5	2.5
multiplication	25*5	125.0	124	numeric	informative	informative	numeric	-1	1.5	4.6	1.3	5.0	0.5	4.4
division	27/26	1.0	2	english_word	informative	noninformative	english_word	1	3.0	5.6	2.2	3.9	0.5	4.7
addition	16+14	30.0	30	english_word	noninformative	informative	english_word	0	2.1	4.7	2.4	5.2	0.5	3.7
addition	13+4	17.0	18	english_word	informative	informative	english_word	1	2.7	3.3	1.5	3.7	0.5	3.7
subtraction	23-18	5.0	5	english_word	informative	informative	english_word	0	2.1	3.5	2.3	4.5	0.5	5.0
subtraction	28-8	20.0	21	numeric	informative	informative	numeric	1	1.6	3.2	1.5	5.1	0.5	4.7
division	27/15	1.8	7	numeric	noninformative	informative	numeric	5	1.8	4.0	2.8	5.9	0.5	5.3
