trial_type	equation	solution	comparison	equation_representation	feedback_1	feedback_2	comparison_representation	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
addition	30+22	52.0	51	numeric	informative	noninformative	numeric	-1	2.2	4.0	2.4	4.2	0.5	5.5
multiplication	5*1	5.0	4	numeric	noninformative	informative	numeric	-1	2.0	3.3	2.0	6.2	0.5	3.4
addition	27+2	29.0	28	numeric	informative	noninformative	numeric	-1	1.6	5.7	1.7	5.2	0.5	3.6
division	15/10	1.5	0	numeric	informative	informative	numeric	-1	2.3	4.3	1.4	4.3	0.5	3.8
subtraction	22-12	10.0	9	numeric	noninformative	noninformative	numeric	-1	1.5	4.5	2.1	4.6	0.5	3.4
multiplication	3*1	3.0	12	english_word	informative	informative	english_word	9	2.0	4.5	1.1	6.0	0.5	7.8
division	19/4	4.8	15	english_word	informative	informative	english_word	10	1.7	3.2	2.2	7.0	0.5	4.8
multiplication	14*9	126.0	125	english_word	informative	informative	english_word	-1	1.7	4.7	2.6	6.0	0.5	4.4
subtraction	1-23	-22.0	-24	english_word	informative	noninformative	english_word	-2	2.5	7.1	1.4	3.7	0.5	2.9
addition	16+19	35.0	34	english_word	informative	informative	english_word	-1	2.3	4.9	2.3	3.4	0.5	4.0
multiplication	23*8	184.0	185	numeric	informative	noninformative	numeric	1	2.9	6.2	1.8	4.1	0.5	3.2
division	12/10	1.2	-5	numeric	informative	informative	numeric	-6	1.5	3.8	2.2	2.8	0.5	5.8
division	28/10	2.8	-4	numeric	informative	informative	numeric	-7	1.8	4.2	1.5	4.9	0.5	5.9
subtraction	21-8	13.0	12	english_word	informative	informative	english_word	-1	2.8	5.0	1.6	5.0	0.5	4.9
subtraction	3-16	-13.0	-12	english_word	informative	noninformative	english_word	1	1.4	4.6	1.5	4.0	0.5	4.2
addition	8+28	36.0	35	numeric	informative	informative	numeric	-1	1.4	3.4	1.2	3.6	0.5	3.6
division	28/19	1.5	3	numeric	noninformative	informative	numeric	2	1.6	4.6	2.0	3.3	0.5	5.0
subtraction	24-13	11.0	6	numeric	informative	informative	numeric	-5	1.9	5.6	2.7	5.2	0.5	4.1
division	29/17	1.7	1	numeric	informative	informative	numeric	-1	1.7	6.2	1.8	3.1	0.5	3.2
subtraction	14-3	11.0	8	english_word	noninformative	informative	english_word	-3	1.0	3.0	1.4	4.8	0.5	4.3
multiplication	30*3	90.0	88	english_word	informative	noninformative	english_word	-2	1.8	5.0	3.0	4.3	0.5	7.3
addition	21+21	42.0	47	english_word	informative	informative	english_word	5	2.4	5.5	1.2	4.9	0.5	3.7
multiplication	11*6	66.0	56	english_word	informative	informative	english_word	-10	2.7	4.4	1.0	4.5	0.5	5.0
addition	25+15	40.0	35	english_word	informative	informative	english_word	-5	1.6	5.9	2.2	5.1	0.5	4.4
