trial_type	equation	solution	comparison	equation_representation	feedback_1	feedback_2	comparison_representation	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
division	13/3	4.3	-2	english_word	informative	noninformative	english_word	-6	2.5	5.4	2.7	3.3	0.5	5.3
division	20/14	1.4	-5	english_word	informative	informative	english_word	-6	2.1	4.5	3.0	5.2	0.5	7.4
addition	15+18	33.0	34	numeric	informative	informative	numeric	1	1.2	3.6	1.7	3.8	0.5	3.8
division	25/18	1.4	1	english_word	informative	noninformative	english_word	0	1.8	4.6	1.2	5.7	0.5	4.4
multiplication	29*5	145.0	146	numeric	informative	informative	numeric	1	2.6	3.7	2.5	4.4	0.5	2.7
addition	14+23	37.0	35	numeric	noninformative	noninformative	numeric	-2	2.0	4.5	1.3	4.7	0.5	4.6
addition	13+22	35.0	26	english_word	informative	informative	english_word	-9	1.4	5.4	2.5	3.5	0.5	2.5
division	27/20	1.4	-2	english_word	informative	informative	english_word	-3	2.7	5.2	2.9	3.0	0.5	4.6
subtraction	12-3	9.0	7	english_word	informative	noninformative	english_word	-2	2.9	3.9	1.1	4.5	0.5	5.9
addition	16+9	25.0	21	numeric	informative	noninformative	numeric	-4	3.0	4.5	1.9	3.3	0.5	6.2
subtraction	30-23	7.0	6	english_word	informative	noninformative	english_word	-1	1.4	4.3	2.7	5.2	0.5	5.1
multiplication	30*5	150.0	148	english_word	informative	informative	english_word	-2	2.9	4.4	1.3	4.5	0.5	3.6
division	28/17	1.6	3	numeric	informative	informative	numeric	1	1.5	4.5	2.5	5.3	0.5	6.0
multiplication	24*3	72.0	71	numeric	informative	informative	numeric	-1	1.1	3.7	2.6	5.0	0.5	4.5
subtraction	6-5	1.0	-4	numeric	informative	informative	numeric	-5	2.9	4.6	2.4	4.7	0.5	5.3
multiplication	16*8	128.0	130	numeric	noninformative	informative	numeric	2	2.8	4.2	1.3	3.9	0.5	5.1
multiplication	15*2	30.0	30	numeric	informative	informative	numeric	0	1.6	3.7	1.1	7.3	0.5	3.5
division	19/7	2.7	5	numeric	noninformative	informative	numeric	2	1.3	6.0	2.3	4.9	0.5	4.4
subtraction	23-18	5.0	9	numeric	informative	informative	numeric	4	1.8	3.6	1.5	4.5	0.5	3.1
subtraction	26-19	7.0	4	english_word	informative	informative	english_word	-3	2.0	4.9	3.0	3.2	0.5	4.0
multiplication	25*8	200.0	204	numeric	noninformative	informative	numeric	4	1.6	5.7	2.1	2.8	0.5	4.3
subtraction	4-23	-19.0	-16	english_word	informative	noninformative	english_word	3	1.9	2.8	1.1	5.5	0.5	4.4
addition	1+19	20.0	16	english_word	informative	informative	english_word	-4	2.7	2.8	2.4	5.5	0.5	4.1
addition	16+10	26.0	23	english_word	informative	informative	english_word	-3	2.1	2.7	2.3	5.4	0.5	3.9
