trial_type	equation	solution	comparison	equation_representation	feedback_1	feedback_2	comparison_representation	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
multiplication	1*9	9.0	9	numeric	noninformative	informative	numeric	0	2.4	2.9	1.5	3.1	0.5	6.8
subtraction	3-20	-17.0	-17	english_word	informative	noninformative	english_word	0	1.6	3.7	2.5	3.2	0.5	7.0
division	30/22	1.4	2	english_word	informative	informative	english_word	1	1.4	3.8	2.6	4.1	0.5	3.6
subtraction	26-29	-3.0	-10	english_word	informative	informative	english_word	-7	1.5	3.9	1.2	3.4	0.5	4.7
multiplication	18*7	126.0	127	english_word	informative	noninformative	english_word	1	1.2	5.4	2.1	4.4	0.5	4.7
division	21/4	5.2	3	english_word	informative	noninformative	english_word	-2	1.2	4.7	1.2	4.3	0.5	4.6
addition	21+16	37.0	34	numeric	noninformative	informative	numeric	-3	2.5	4.8	2.7	4.7	0.5	5.7
addition	30+12	42.0	41	numeric	informative	informative	numeric	-1	1.4	3.3	1.6	3.6	0.5	5.2
addition	5+5	10.0	13	numeric	informative	informative	numeric	3	2.3	6.0	2.8	4.9	0.5	3.6
division	14/11	1.3	3	numeric	informative	noninformative	numeric	2	2.3	5.5	1.4	7.5	0.5	4.2
addition	19+2	21.0	16	numeric	informative	noninformative	numeric	-5	1.3	6.9	2.1	5.5	0.5	3.1
multiplication	26*4	104.0	104	english_word	informative	noninformative	english_word	0	1.0	4.2	2.5	5.0	0.5	4.0
addition	27+16	43.0	43	english_word	informative	informative	english_word	0	3.0	3.1	1.2	4.4	0.5	5.3
subtraction	22-27	-5.0	4	numeric	informative	informative	numeric	9	1.6	5.0	1.7	4.7	0.5	4.2
multiplication	18*2	36.0	33	english_word	informative	informative	english_word	-3	2.2	3.3	1.9	5.1	0.5	2.4
multiplication	26*2	52.0	53	english_word	informative	informative	english_word	1	1.1	4.1	1.5	4.9	0.5	7.8
division	7/7	1.0	6	english_word	informative	informative	english_word	5	1.8	3.7	1.4	3.3	0.5	3.5
subtraction	29-11	18.0	19	english_word	informative	informative	english_word	1	1.5	3.7	2.3	5.1	0.5	3.5
subtraction	17-1	16.0	14	numeric	informative	informative	numeric	-2	1.6	3.7	1.3	4.0	0.5	6.2
division	29/12	2.4	-3	english_word	informative	informative	english_word	-5	2.9	4.9	1.6	5.0	0.5	4.4
multiplication	29*2	58.0	59	numeric	noninformative	informative	numeric	1	1.6	4.1	2.8	7.4	0.5	4.5
subtraction	5-16	-11.0	-11	numeric	informative	informative	numeric	0	1.3	3.0	1.7	7.5	0.5	4.7
division	11/9	1.2	-3	numeric	informative	noninformative	numeric	-4	2.2	3.4	1.2	4.7	0.5	4.6
addition	24+24	48.0	38	numeric	noninformative	informative	numeric	-10	2.8	4.9	2.1	7.8	0.5	2.8
