trial_type	equation	solution	comparison	equation_representation	feedback_1	feedback_2	comparison_representation	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
division	14/9	1.6	9	english_word	informative	informative	english_word	7	2.6	7.2	2.5	3.5	0.5	3.8
division	21/19	1.1	1	english_word	informative	informative	english_word	0	1.3	5.3	2.5	4.1	0.5	3.3
subtraction	24-29	-5.0	-5	english_word	informative	informative	english_word	0	2.1	4.2	2.0	7.1	0.5	3.9
addition	16+5	21.0	20	english_word	informative	informative	english_word	-1	1.1	2.6	2.3	2.9	0.5	3.5
multiplication	19*8	152.0	145	english_word	informative	informative	english_word	-7	2.1	4.0	1.7	5.5	0.5	5.0
division	20/6	3.3	2	english_word	informative	noninformative	english_word	-1	1.5	3.9	2.7	3.4	0.5	4.3
multiplication	27*8	216.0	214	numeric	informative	noninformative	numeric	-2	1.7	5.7	2.3	4.6	0.5	4.3
addition	21+17	38.0	41	english_word	informative	noninformative	english_word	3	1.8	6.1	1.1	3.9	0.5	6.3
division	27/7	3.9	8	numeric	noninformative	informative	numeric	4	1.3	4.7	2.1	6.1	0.5	3.7
subtraction	1-21	-20.0	-27	numeric	informative	informative	numeric	-7	2.5	6.7	2.0	3.4	0.5	4.4
multiplication	30*5	150.0	150	numeric	informative	informative	numeric	0	2.8	3.9	1.9	6.3	0.5	4.8
subtraction	8-17	-9.0	-2	english_word	informative	informative	english_word	7	1.5	5.4	1.4	3.9	0.5	4.2
multiplication	17*3	51.0	53	numeric	informative	noninformative	numeric	2	1.3	4.7	1.8	3.0	0.5	3.0
addition	14+1	15.0	15	numeric	noninformative	informative	numeric	0	1.7	4.6	1.7	2.5	0.5	2.9
addition	30+4	34.0	39	english_word	informative	noninformative	english_word	5	2.4	4.1	1.9	3.8	0.5	4.6
division	21/9	2.3	0	english_word	informative	noninformative	english_word	-2	2.6	6.0	2.3	6.9	0.5	4.4
addition	19+14	33.0	25	numeric	noninformative	informative	numeric	-8	1.8	5.3	2.7	3.9	0.5	4.7
division	20/14	1.4	4	numeric	informative	informative	numeric	3	2.6	4.1	2.5	6.5	0.5	4.7
multiplication	26*5	130.0	133	english_word	informative	informative	english_word	3	1.4	3.9	2.0	5.3	0.5	4.1
subtraction	23-22	1.0	-2	english_word	informative	informative	english_word	-3	1.9	3.5	2.5	5.0	0.5	5.1
multiplication	1*9	9.0	9	numeric	informative	noninformative	numeric	0	1.8	7.0	1.3	5.0	0.5	5.3
subtraction	27-25	2.0	-1	numeric	informative	informative	numeric	-3	2.1	3.0	2.9	3.4	0.5	4.2
subtraction	1-21	-20.0	-21	numeric	noninformative	informative	numeric	-1	2.8	4.7	2.0	4.1	0.5	3.5
addition	15+30	45.0	53	numeric	informative	informative	numeric	8	1.6	3.5	1.8	6.1	0.5	3.1
